State,Year,Quarter,Amount,Insurance_Count
Andaman & Nicobar Islands,2020,2,1360.0,6
Andaman & Nicobar Islands,2020,3,15380.0,41
Andaman & Nicobar Islands,2020,4,157975.0,124
Andaman & Nicobar Islands,2021,1,244266.0,225
Andaman & Nicobar Islands,2021,2,181504.0,137
Andaman & Nicobar Islands,2021,3,305235.0,230
Andaman & Nicobar Islands,2021,4,1056380.0,757
Andaman & Nicobar Islands,2022,1,1131287.0,768
Andaman & Nicobar Islands,2022,2,779740.0,501
Andaman & Nicobar Islands,2022,3,902466.0,643
Andaman & Nicobar Islands,2022,4,1441210.0,901
Andaman & Nicobar Islands,2023,1,1439198.0,1004
Andaman & Nicobar Islands,2023,2,1233395.0,768
Andaman & Nicobar Islands,2023,3,1251145.0,795
Andaman & Nicobar Islands,2023,4,1757821.0,1145
Andhra Pradesh,2020,2,3982391.0,22104
Andhra Pradesh,2020,3,12426481.0,49812
Andhra Pradesh,2020,4,12985632.0,21464
Andhra Pradesh,2021,1,12749874.0,22105
Andhra Pradesh,2021,2,22730687.0,33205
Andhra Pradesh,2021,3,19914338.0,23075
Andhra Pradesh,2021,4,31610335.0,25423
Andhra Pradesh,2022,1,42648157.0,29954
Andhra Pradesh,2022,2,41708072.0,32185
Andhra Pradesh,2022,3,48791931.0,39301
Andhra Pradesh,2022,4,58043239.0,44329
Andhra Pradesh,2023,1,51963355.0,34920
Andhra Pradesh,2023,2,52067478.0,36376
Andhra Pradesh,2023,3,57802396.0,43150
Andhra Pradesh,2023,4,62342423.0,41798
Arunachal Pradesh,2020,2,14329.0,65
Arunachal Pradesh,2020,3,39687.0,135
Arunachal Pradesh,2020,4,84247.0,125
Arunachal Pradesh,2021,1,131611.0,194
Arunachal Pradesh,2021,2,224928.0,204
Arunachal Pradesh,2021,3,371051.0,212
Arunachal Pradesh,2021,4,598459.0,320
Arunachal Pradesh,2022,1,894107.0,355
Arunachal Pradesh,2022,2,1360231.0,564
Arunachal Pradesh,2022,3,1300304.0,510
Arunachal Pradesh,2022,4,1464572.0,613
Arunachal Pradesh,2023,1,1747475.0,606
Arunachal Pradesh,2023,2,2095988.0,696
Arunachal Pradesh,2023,3,1904786.0,718
Arunachal Pradesh,2023,4,2105408.0,809
Assam,2020,2,210034.0,978
Assam,2020,3,599450.0,2206
Assam,2020,4,1806801.0,2413
Assam,2021,1,2334419.0,3167
Assam,2021,2,3008122.0,3265
Assam,2021,3,6010865.0,4495
Assam,2021,4,13962068.0,8622
Assam,2022,1,27447766.0,16230
Assam,2022,2,15357811.0,9228
Assam,2022,3,22543564.0,14149
Assam,2022,4,29239168.0,18826
Assam,2023,1,36963888.0,22100
Assam,2023,2,28368139.0,16475
Assam,2023,3,35618158.0,22593
Assam,2023,4,38731734.0,23168
Bihar,2020,2,595621.0,2816
Bihar,2020,3,2161102.0,9733
Bihar,2020,4,7860932.0,9913
Bihar,2021,1,8796619.0,12554
Bihar,2021,2,13301581.0,14301
Bihar,2021,3,18234941.0,18030
Bihar,2021,4,27313813.0,22456
Bihar,2022,1,27755736.0,20253
Bihar,2022,2,28212833.0,21892
Bihar,2022,3,34704251.0,28511
Bihar,2022,4,43914519.0,33895
