State,District,Year,Quarter,Amount,Insurance_Count
Andaman And Nicobar Islands,South Andaman,2020,2,795.0,3
Andaman And Nicobar Islands,Nicobars,2020,2,565.0,3
Andaman And Nicobar Islands,North And Middle Andaman,2020,3,281.0,1
Andaman And Nicobar Islands,South Andaman,2020,3,13651.0,35
Andaman And Nicobar Islands,Nicobars,2020,3,1448.0,5
Andaman And Nicobar Islands,North And Middle Andaman,2020,4,17734.0,13
Andaman And Nicobar Islands,South Andaman,2020,4,137494.0,109
Andaman And Nicobar Islands,Nicobars,2020,4,2747.0,2
Andaman And Nicobar Islands,North And Middle Andaman,2021,1,63978.0,48
Andaman And Nicobar Islands,South Andaman,2021,1,167044.0,164
Andaman And Nicobar Islands,Nicobars,2021,1,13244.0,13
Andaman And Nicobar Islands,North And Middle Andaman,2021,2,45311.0,28
Andaman And Nicobar Islands,South Andaman,2021,2,121104.0,105
Andaman And Nicobar Islands,Nicobars,2021,2,15089.0,4
Andaman And Nicobar Islands,North And Middle Andaman,2021,3,50997.0,33
Andaman And Nicobar Islands,South Andaman,2021,3,223699.0,182
Andaman And Nicobar Islands,Nicobars,2021,3,30539.0,15
Andaman And Nicobar Islands,North And Middle Andaman,2021,4,182061.0,81
Andaman And Nicobar Islands,South Andaman,2021,4,800758.0,632
Andaman And Nicobar Islands,Nicobars,2021,4,73561.0,44
Andaman And Nicobar Islands,North And Middle Andaman,2022,1,85229.0,48
Andaman And Nicobar Islands,South Andaman,2022,1,982206.0,692
Andaman And Nicobar Islands,Nicobars,2022,1,63852.0,28
Andaman And Nicobar Islands,North And Middle Andaman,2022,2,90403.0,45
Andaman And Nicobar Islands,South Andaman,2022,2,633029.0,430
Andaman And Nicobar Islands,Nicobars,2022,2,56308.0,26
Andaman And Nicobar Islands,North And Middle Andaman,2022,3,129013.0,70
Andaman And Nicobar Islands,South Andaman,2022,3,687813.0,535
Andaman And Nicobar Islands,Nicobars,2022,3,85640.0,38
Andaman And Nicobar Islands,North And Middle Andaman,2022,4,224198.0,112
Andaman And Nicobar Islands,South Andaman,2022,4,1114857.0,750
Andaman And Nicobar Islands,Nicobars,2022,4,102155.0,39
Andaman And Nicobar Islands,North And Middle Andaman,2023,1,178969.0,85
Andaman And Nicobar Islands,South Andaman,2023,1,1172083.0,872
Andaman And Nicobar Islands,Nicobars,2023,1,88146.0,47
Andaman And Nicobar Islands,North And Middle Andaman,2023,2,109742.0,56
Andaman And Nicobar Islands,South Andaman,2023,2,1060976.0,670
Andaman And Nicobar Islands,Nicobars,2023,2,62677.0,42
Andaman And Nicobar Islands,North And Middle Andaman,2023,3,133536.0,77
Andaman And Nicobar Islands,South Andaman,2023,3,1052324.0,682
Andaman And Nicobar Islands,Nicobars,2023,3,65285.0,36
Andaman And Nicobar Islands,North And Middle Andaman,2023,4,156995.0,95
Andaman And Nicobar Islands,South Andaman,2023,4,1504528.0,1006
Andaman And Nicobar Islands,Nicobars,2023,4,96298.0,44
Andhra Pradesh,East Godavari,2020,2,352220.0,1913
Andhra Pradesh,Srikakulam,2020,2,107046.0,536
Andhra Pradesh,Spsr Nellore,2020,2,176423.0,931
Andhra Pradesh,Vizianagaram,2020,2,166029.0,893
Andhra Pradesh,Visakhapatnam,2020,2,614212.0,3504
Andhra Pradesh,Prakasam,2020,2,161709.0,847
Andhra Pradesh,Anantapur,2020,2,485777.0,2739
Andhra Pradesh,Ysr,2020,2,343002.0,1978
Andhra Pradesh,West Godavari,2020,2,202289.0,1074
Andhra Pradesh,Kurnool,2020,2,158720.0,825
Andhra Pradesh,Chittoor,2020,2,395099.0,2228
Andhra Pradesh,Guntur,2020,2,344326.0,1938
Andhra Pradesh,Krishna,2020,2,475539.0,2698
Andhra Pradesh,East Godavari,2020,3,970549.0,3783
Andhra Pradesh,Srikakulam,2020,3,383049.0,1535
Andhra Pradesh,Spsr Nellore,2020,3,1259159.0,5509
Andhra Pradesh,Vizianagaram,2020,3,691281.0,2999
